,feature_name,importance
1,FpDensityMorgan1,419
0,HeavyAtomMolWt,283
2,FpDensityMorgan2,231
4,BalabanJ,226
7,HallKierAlpha,192
3,FpDensityMorgan3,147
26,fr_bicyclic,124
33,FractionCSP3,119
10,Kappa3,109
8,Kappa1,105
12,TPSA,98
19,NumHeteroatoms,94
6,Chi1,90
5,Chi0,85
48,kappa3,85
11,LabuteASA,80
49,phi,78
9,Kappa2,63
25,fr_aryl_methyl,61
28,fr_halogen,60
34,refractive_index,55
41,max_bond_order_coor_0,52
47,kappa2,51
42,max_bond_order_coor_1,46
36,E_T(30),41
31,fr_para_hydroxylation,37
30,fr_methoxy,34
27,fr_ether,29
24,fr_aniline,28
16,NumAromaticHeterocycles,24
18,NumHAcceptors,23
17,NumAromaticRings,21
40,sum_delta_X_coor_2,20
23,fr_NH0,19
22,fr_Ar_N,19
35,state,18
43,max_bond_order_coor_2,18
15,NumAromaticCarbocycles,14
14,NumAliphaticHeterocycles,13
37,max_delta_X_coor_0,12
32,fr_thiophene,11
20,NumRotatableBonds,10
29,fr_ketone,8
21,RingCount,6
38,max_delta_X_coor_1,5
46,kappa1,5
39,sum_delta_X_coor_1,3
13,NumAliphaticCarbocycles,3
44,min_bond_order_coor_0,0
45,min_bond_order_coor_1,0
